Trading simulation for AUDUSD:
  Short position opened at 1.64248, closed at 1.64317, profit: -0.42, balance: 9916.49
  Short position opened at 1.64248, closed at 1.64329, profit: -0.49, balance: 9916.00
  Short position opened at 1.64306, closed at 1.64329, profit: -0.14, balance: 9915.85
  Short position opened at 1.64306, closed at 1.64329, profit: -0.14, balance: 9915.71
  Short position opened at 1.64317, closed at 1.64340, profit: -0.14, balance: 9915.57
  Short position opened at 1.64317, closed at 1.64363, profit: -0.28, balance: 9915.29
  Short position opened at 1.64329, closed at 1.64410, profit: -0.49, balance: 9914.80
  Short position opened at 1.64329, closed at 1.64410, profit: -0.49, balance: 9914.31
  Short position opened at 1.64329, closed at 1.64433, profit: -0.50, balance: 9913.81
  Short position opened at 1.64340, closed at 1.64433, profit: -0.50, balance: 9913.31
  Short position opened at 1.64363, closed at 1.64444, profit: -0.49, balance: 9912.81
  Short position opened at 1.64410, closed at 1.64537, profit: -0.50, balance: 9912.31
  Short position opened at 1.64410, closed at 1.64537, profit: -0.50, balance: 9911.81
  Short position opened at 1.64433, closed at 1.64537, profit: -0.50, balance: 9911.31
  Short position opened at 1.64433, closed at 1.64537, profit: -0.50, balance: 9910.81
  Short position opened at 1.64444, closed at 1.64537, profit: -0.50, balance: 9910.31
  Short position opened at 1.64537, closed at 1.64826, profit: -0.50, balance: 9909.81
  Short position opened at 1.64537, closed at 1.64826, profit: -0.50, balance: 9909.31
  Short position opened at 1.64549, closed at 1.64826, profit: -0.50, balance: 9908.81
  Short position opened at 1.64826, closed at 1.65150, profit: -0.50, balance: 9908.31
  Short position opened at 1.64826, closed at 1.65150, profit: -0.50, balance: 9907.81
  Short position opened at 1.64873, closed at 1.65150, profit: -0.50, balance: 9907.31
  Short position opened at 1.65150, closed at 1.65440, profit: -0.50, balance: 9906.81
  Short position opened at 1.65150, closed at 1.65440, profit: -0.50, balance: 9906.31
  Short position opened at 1.65208, closed at 1.65440, profit: -0.50, balance: 9905.81
  Short position opened at 1.65440, closed at 1.65556, profit: -0.50, balance: 9905.31
  Short position opened at 1.65440, closed at 1.65556, profit: -0.50, balance: 9904.81
  Short position opened at 1.65451, closed at 1.65556, profit: -0.50, balance: 9904.31
  Short position opened at 1.65463, closed at 1.65556, profit: -0.50, balance: 9903.81
  Short position opened at 1.65556, closed at 1.65660, profit: -0.50, balance: 9903.31
  Short position opened at 1.65660, closed at 1.65718, profit: -0.35, balance: 9902.96
  Short position opened at 1.65660, closed at 1.65775, profit: -0.50, balance: 9902.46
